club_name,player_name,age,position,club_involved_name,transfer_movement,transfer_period,fee_cleaned,season
Newcastle United,Alan Shearer,25.0,Centre-Forward,Blackburn Rovers,in,Summer,18.0,1996/1997
Leeds United,Lee Sharpe,25.0,Left Midfield,Man Utd,in,Summer,6.75,1996/1997
Leeds United,Lee Bowyer,19.0,Central Midfield,Charlton,in,Summer,3.8,1996/1997
Leeds United,Nigel Martyn,29.0,Goalkeeper,Crystal Palace,in,Summer,3.35,1996/1997
Leeds United,Gunnar Halle,30.0,Right-Back,Oldham Athletic,in,Summer,0.575,1996/1997
West Ham United,Richard Hall,24.0,Centre-Back,Southampton,in,Summer,1.7,1996/1997
West Ham United,Scott Mean,22.0,midfield,AFC Bournemouth,in,Summer,0.15,1996/1997
Sunderland AFC,Lee Clark,23.0,Right Winger,Newcastle United,in,Summer,3.25,1996/1997
Sunderland AFC,Niall Quinn,29.0,Centre-Forward,Man City,in,Summer,1.3,1996/1997
Sunderland AFC,Tony Coton,35.0,Goalkeeper,Man Utd,in,Summer,0.675,1996/1997
Derby County,Chris Powell,26.0,Left-Back,Crystal Palace,in,Summer,1.25,1996/1997
Derby County,Paul McGrath,36.0,Centre-Back,Aston Villa,in,Summer,0.125,1996/1997
Coventry City,Gary Breen,23.0,Centre-Back,Birmingham,in,Winter,3.75,1996/1997
Coventry City,Darren Huckerby,20.0,Right Winger,Newcastle United,in,Winter,1.0,1996/1997
Middlesbrough FC,Mark Schwarzer,24.0,Goalkeeper,Bradford,in,Winter,2.5,1996/1997
West Ham United,John Hartson,21.0,Centre-Forward,Arsenal FC,in,Winter,5.0,1996/1997
West Ham United,Paul Kitson,26.0,Centre-Forward,Newcastle United,in,Winter,3.5,1996/1997
West Ham United,Steve Lomas,23.0,Central Midfield,Man City,in,Winter,2.4,1996/1997
Sunderland AFC,Chris Waddle,36.0,Attacking Midfield,Bradford,in,Winter,0.1,1996/1997
Spurs,John Scales,30.0,Centre-Back,Liverpool FC,in,Winter,3.0,1996/1997
Derby County,Mart Poom,25.0,Goalkeeper,Portsmouth FC,in,Winter,0.7,1996/1997
Leeds United,David Hopkin,26.0,Right Midfield,Crystal Palace,in,Summer,4.9,1997/1998
Leeds United,Alf-Inge Haaland,24.0,Defensive Midfield,Nottm Forest,in,Summer,2.4,1997/1998
Leeds United,Danny Granville,22.0,Left-Back,Chelsea FC,in,Summer,2.2,1997/1998
Leeds United,David Robertson,28.0,Left-Back,Rangers,in,Summer,0.75,1997/1998
Sheff Utd,Jim Magilton,28.0,Right Midfield,Southampton,in,Summer,1.9,1997/1998
Leicester City,Graham Fenton,23.0,Second Striker,Blackburn Rovers,in,Summer,1.1,1997/1998
Wimbledon FC,Ceri Hughes,26.0,Central Midfield,Luton,in,Summer,0.45,1997/1998
Man Utd,Henning Berg,27.0,Right-Back,Blackburn Rovers,in,Summer,7.5,1997/1998
Man Utd,Teddy Sheringham,31.0,Centre-Forward,Spurs,in,Summer,5.3,1997/1998
Crystal Palace,Neil Emblen,26.0,Defensive Midfield,Wolves,in,Summer,2.5,1997/1998
Crystal Palace,Kevin Miller,28.0,Goalkeeper,Watford FC,in,Summer,2.0,1997/1998
Crystal Palace,Jamie Smith,23.0,Right-Back,Wolves,in,Summer,1.5,1997/1998
Newcastle United,Des Hamilton,20.0,Right Midfield,Bradford,in,Summer,3.0,1997/1998
Newcastle United,Shay Given,21.0,Goalkeeper,Blackburn Rovers,in,Summer,2.25,1997/1998
Chelsea FC,Graeme Le Saux,28.0,Left-Back,Blackburn Rovers,in,Summer,10.5,1997/1998
Aston Villa,Stan Collymore,26.0,Centre-Forward,Liverpool FC,in,Summer,10.5,1997/1998
Arsenal FC,Matthew Upson,18.0,Centre-Back,Luton,in,Summer,2.8,1997/1998
West Ham United,Ian Pearce,23.0,Centre-Back,Blackburn Rovers,in,Summer,3.6,1997/1998
West Ham United,Andy Impey,25.0,Defensive Midfield,QPR,in,Summer,1.68,1997/1998
West Ham United,Craig Forrest,29.0,Goalkeeper,Ipswich Town,in,Summer,0.75,1997/1998
Bolton,Dean Holdsworth,28.0,Centre-Forward,Wimbledon FC,in,Summer,4.87,1997/1998
Bolton,Robbie Elliott,23.0,Left-Back,Newcastle United,in,Summer,3.48,1997/1998
Bolton,Neil Cox,25.0,Centre-Back,Middlesbrough FC,in,Summer,2.0,1997/1998
Bolton,Peter Beardsley,36.0,Second Striker,Newcastle United,in,Summer,0.5,1997/1998
Barnsley FC,Ashley Ward,26.0,Centre-Forward,Derby County,in,Summer,1.82,1997/1998
Blackburn Rovers,John Filan,27.0,Goalkeeper,Coventry,in,Summer,1.0,1997/1998
Spurs,Les Ferdinand,30.0,Centre-Forward,Newcastle United,in,Summer,9.5,1997/1998
Spurs,David Ginola,30.0,Left Winger,Newcastle United,in,Summer,2.85,1997/1998
Liverpool FC,Öyvind Leonhardsen,26.0,Attacking Midfield,Wimbledon FC,in,Summer,5.25,1997/1998
Derby County,Deon Burton,20.0,Centre-Forward,Portsmouth FC,in,Summer,1.25,1997/1998
Derby County,Jonathan Hunt,25.0,attack,Birmingham,in,Summer,0.75,1997/1998
Sheff Utd,Andy Hinchcliffe,28.0,Left-Back,Everton,in,Winter,4.5,1997/1998
Wimbledon FC,Mark Kennedy,21.0,Left-Back,Liverpool FC,in,Winter,2.4,1997/1998
Wimbledon FC,Michael Hughes,26.0,Attacking Midfield,West Ham United,in,Winter,2.0,1997/1998
Wimbledon FC,Carl Leaburn,28.0,Centre-Forward,Charlton,in,Winter,0.359,1997/1998
Crystal Palace,Sasa Curcic,26.0,Defensive Midfield,Aston Villa,in,Winter,1.5,1997/1998
Crystal Palace,Marcus Bent,19.0,Centre-Forward,Brentford FC,in,Winter,0.45,1997/1998
Newcastle United,Gary Speed,28.0,Left Midfield,Everton,in,Winter,8.25,1997/1998
Newcastle United,Andy Griffin,18.0,Right-Back,Stoke City,in,Winter,2.5,1997/1998
West Ham United,Trevor Sinclair,24.0,Left Winger,QPR,in,Winter,3.05,1997/1998
Bolton,Mike Whitlow,29.0,Centre-Back,Leicester City,in,Winter,0.75,1997/1998
Barnsley FC,Jan Aage Fjörtoft,30.0,Centre-Forward,Sheff Utd,in,Winter,1.15,1997/1998
Spurs,Frode Grodas,33.0,Goalkeeper,Chelsea FC,in,Winter,0.35,1997/1998
Derby County,Lars Bohinen,28.0,Central Midfield,Blackburn Rovers,in,Winter,1.5,1997/1998
Aston Villa,Alan Thompson,24.0,Left Midfield,Bolton,in,Summer,7.2,1998/1999
Aston Villa,Paul Merson,30.0,Right Midfield,Middlesbrough FC,in,Summer,6.75,1998/1999
Aston Villa,Steve Watson,24.0,Right-Back,Newcastle United,in,Summer,6.0,1998/1999
Aston Villa,David Unsworth,24.0,Left-Back,West Ham United,in,Summer,4.6,1998/1999
Sheff Utd,Danny Sonner,26.0,Defensive Midfield,Ipswich Town,in,Summer,0.1,1998/1999
Leicester City,Frank Sinclair,26.0,Centre-Back,Chelsea FC,in,Summer,3.0,1998/1999
Wimbledon FC,Andy Roberts,24.0,Central Midfield,Crystal Palace,in,Summer,2.5,1998/1999
Coventry City,Steve Froggatt,25.0,Left Winger,Wolves,in,Summer,2.3,1998/1999
Coventry City,Marc Edworthy,25.0,Right-Back,Crystal Palace,in,Summer,1.8,1998/1999
Coventry City,John Aloisi,22.0,Centre-Forward,Portsmouth FC,in,Summer,0.975,1998/1999
Man Utd,Dwight Yorke,26.0,Centre-Forward,Aston Villa,in,Summer,19.25,1998/1999
Newcastle United,Garry Brady,21.0,Central Midfield,Spurs,in,Summer,0.975,1998/1999
Newcastle United,Laurent Charvet,25.0,Right-Back,Chelsea FC,in,Summer,0.85,1998/1999
Newcastle United,Carl Serrant,22.0,Left-Back,Oldham Athletic,in,Summer,0.6,1998/1999
Nottm Forest,Nigel Quashie,19.0,Central Midfield,QPR,in,Summer,3.75,1998/1999
Nottm Forest,Neil Shipperley,23.0,Centre-Forward,Crystal Palace,in,Summer,2.1,1998/1999
Nottm Forest,Dougie Freedman,24.0,Centre-Forward,Wolves,in,Summer,1.1,1998/1999
Nottm Forest,Andy Gray,20.0,Centre-Forward,Leeds United,in,Summer,0.2,1998/1999
Middlesbrough FC,Colin Cooper,31.0,Left-Back,Nottm Forest,in,Summer,3.75,1998/1999
Middlesbrough FC,Gary Pallister,33.0,Centre-Back,Man Utd,in,Summer,2.8,1998/1999
Middlesbrough FC,Dean Gordon,25.0,Left-Back,Crystal Palace,in,Summer,1.35,1998/1999
West Ham United,Ian Wright,34.0,Centre-Forward,Arsenal FC,in,Summer,0.75,1998/1999
West Ham United,Neil Ruddock,30.0,Centre-Back,Liverpool FC,in,Summer,0.35,1998/1999
Charlton,Chris Powell,28.0,Left-Back,Derby County,in,Summer,1.25,1998/1999
Charlton,Neil Redfearn,33.0,Central Midfield,Barnsley FC,in,Summer,1.15,1998/1999
