Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
64,David Burrows,eng ENG,DF,Coventry City,30,1968,15,11,1010,11.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
65,Deon Burton,jm JAM,FW,Derby County,22,1976,19,15,1259,14.0,4,2,6,4,0,0,6,0,0.29,0.14,0.43,0.29,0.43,Matches
66,Paul Butler,ie IRL,DF,Sunderland,26,1972,32,31,2788,31.0,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches
67,Thomas Butler,ie IRL,MF,Sunderland,18,1981,1,0,7,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Nicky Butt,eng ENG,"DF,MF",Manchester Utd,24,1975,32,21,1870,20.8,3,3,6,3,0,0,2,2,0.14,0.14,0.29,0.14,0.29,Matches
69,Shaun Byrne,ie IRL,"DF,MF",West Ham,18,1981,1,0,12,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Stephen Bywater,eng ENG,GK,West Ham,18,1981,4,3,358,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Danny Cadamarteri,eng ENG,FW,Everton,19,1979,17,3,534,5.9,1,2,3,1,0,0,2,0,0.17,0.34,0.51,0.17,0.51,Matches
72,Jorge Cadete,pt POR,FW,Bradford City,30,1968,7,2,264,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Colin Calderwood,sct SCO,DF,Aston Villa,34,1965,18,15,1373,15.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Titi Camara,gn GUI,FW,Liverpool,26,1972,33,22,1977,22.0,9,1,10,9,0,0,6,0,0.41,0.05,0.46,0.41,0.46,Matches
