player_name,nation,squad,minutes_played,goals,assists,cards
Andy Sinton,eng ENG,Tottenham,1174,0,0,3.0
Alan Smith,eng ENG,Leeds United,1460,7,3,6.0
Nolberto Solano,pe PER,Newcastle Utd,1968,6,5,0.0
Rigobert Song,cm CMR,Liverpool,903,0,1,3.0
Danny Sonner,nir NIR,Sheffield Weds,2086,3,2,6.0
Gareth Southgate,eng ENG,Aston Villa,3420,1,0,5.0
Gary Speed,wls WAL,Newcastle Utd,3117,4,0,6.0
Steve Stone,eng ENG,Aston Villa,814,0,3,1.0
Steve Stone,eng ENG,Nott'ham Forest,2281,3,3,8.0
Graham Stuart,eng ENG,Charlton Ath,810,3,1,2.0
Dean Sturridge,eng ENG,Derby County,2077,5,4,3.0
Chris Sutton,eng ENG,Blackburn,1459,3,1,10.0
Gerry Taggart,nir NIR,Leicester City,823,0,2,3.0
Mauricio Taricco,ar ARG,Tottenham,1072,0,0,3.0
Ian Taylor,eng ENG,Aston Villa,2665,4,4,7.0
Martin Taylor,eng ENG,Blackburn,127,0,0,0.0
Paul Telfer,sct SCO,Coventry City,2581,2,0,11.0
Ben Thatcher,wls WAL,Wimbledon,2714,0,1,8.0
Alan Thompson,eng ENG,Aston Villa,1764,2,3,6.0
David Thompson,eng ENG,Liverpool,480,1,1,3.0
Carl Tiler,eng ENG,Charlton Ath,2361,1,0,6.0
Carl Tiler,eng ENG,Everton,180,0,0,0.0
Andy Townsend,ie IRL,Middlesbrough,3083,1,3,10.0
David Unsworth,eng ENG,Everton,2971,1,1,8.0
Darius Vassell,eng ENG,Aston Villa,88,0,1,0.0
Ian Walker,eng ENG,Tottenham,2250,0,0,1.0
Paulo Wanchope,cr CRC,Derby County,3021,9,5,10.0
Ashley Ward,eng ENG,Blackburn,1530,5,1,3.0
Steve Watson,eng ENG,Aston Villa,2233,0,3,3.0
Steve Watson,eng ENG,Newcastle Utd,550,0,1,0.0
David Wetherall,eng ENG,Leeds United,1434,0,2,3.0
Noel Whelan,eng ENG,Coventry City,2742,10,2,9.0
Guy Whittingham,eng ENG,Sheffield Weds,84,0,0,0.0
Jason Wilcox,eng ENG,Blackburn,2376,3,4,7.0
Paul Williams,eng ENG,Coventry City,1815,0,1,3.0
Dennis Wise,eng ENG,Chelsea,1836,0,4,10.0
Jonathan Woodgate,eng ENG,Leeds United,2174,2,1,5.0
Alan Wright,eng ENG,Aston Villa,3405,0,2,3.0
Ian Wright,eng ENG,West Ham,1829,9,3,10.0
Dwight Yorke,tt TRI,Aston Villa,90,0,0,0.0
Dwight Yorke,tt TRI,Manchester Utd,2781,18,11,2.0
Luke Young,eng ENG,Tottenham,1279,0,0,5.0
